,file_name,good_exception,audio_recognition
54,/home/ubuntu/new_audios/Neal Manahan - negative_baltimore_chase_-55.wav,Exception,
55,/home/ubuntu/new_audios/Neal Manahan - negative_baltimore_chase_-56.wav,Exception,
56,/home/ubuntu/new_audios/Neal Manahan - negative_baltimore_chase_-57.wav,Exception,
57,/home/ubuntu/new_audios/Neal Manahan - negative_baltimore_chase_-58.wav,Exception,
58,/home/ubuntu/new_audios/Neal Manahan - negative_baltimore_chase_-59.wav,Exception,
59,/home/ubuntu/new_audios/Neal Manahan - negative_baltimore_chase_-60.wav,Exception,
60,/home/ubuntu/new_audios/Neal Manahan - negative_baltimore_chase_-61.wav,Exception,
61,/home/ubuntu/new_audios/Neal Manahan - negative_baltimore_chase_-62.wav,Exception,
62,/home/ubuntu/new_audios/Neal Manahan - negative_baltimore_chase_-63.wav,Exception,
63,/home/ubuntu/new_audios/Neal Manahan - negative_baltimore_chase_-64.wav,Exception,
64,/home/ubuntu/new_audios/Neal Manahan - negative_baltimore_chase_-65.wav,Exception,
65,/home/ubuntu/new_audios/Neal Manahan - negative_baltimore_chase_-66.wav,Exception,
66,/home/ubuntu/new_audios/Neal Manahan - negative_baltimore_chase_-67.wav,Exception,
67,/home/ubuntu/new_audios/Neal Manahan - negative_baltimore_chase_-68.wav,Exception,
68,/home/ubuntu/new_audios/Neal Manahan - negative_baltimore_chase_-69.wav,Exception,
69,/home/ubuntu/new_audios/Neal Manahan - negative_baltimore_chase_-70.wav,Good,heart
70,/home/ubuntu/new_audios/Neal Manahan - negative_baltimore_chase_-71.wav,Exception,
71,/home/ubuntu/new_audios/Neal Manahan - negative_baltimore_chase_-72.wav,Good,art
72,/home/ubuntu/new_audios/Neal Manahan - negative_baltimore_chase_-73.wav,Exception,
73,/home/ubuntu/new_audios/Neal Manahan - negative_baltimore_chase_-74.wav,Exception,
74,/home/ubuntu/new_audios/Neal Manahan - negative_baltimore_chase_-75.wav,Exception,
75,/home/ubuntu/new_audios/Neal Manahan - negative_baltimore_chase_-76.wav,Good,shut off
76,/home/ubuntu/new_audios/Neal Manahan - negative_baltimore_chase_-77.wav,Exception,
77,/home/ubuntu/new_audios/Neal Manahan - negative_baltimore_chase_-78.wav,Exception,
78,/home/ubuntu/new_audios/Neal Manahan - negative_baltimore_chase_-79.wav,Exception,
79,/home/ubuntu/new_audios/Neal Manahan - negative_baltimore_chase_-80.wav,Exception,
80,/home/ubuntu/new_audios/Neal Manahan - negative_baltimore_chase_-81.wav,Exception,
81,/home/ubuntu/new_audios/Neal Manahan - negative_baltimore_chase_-82.wav,Exception,
82,/home/ubuntu/new_audios/Neal Manahan - negative_baltimore_chase_-83.wav,Exception,
83,/home/ubuntu/new_audios/Neal Manahan - negative_baltimore_chase_-84.wav,Good,Prosecco
84,/home/ubuntu/new_audios/Neal Manahan - negative_baltimore_chase_-85.wav,Good,1032 * 1205
85,/home/ubuntu/new_audios/Neal Manahan - negative_baltimore_chase_-86.wav,Exception,
86,/home/ubuntu/new_audios/Neal Manahan - negative_baltimore_chase_-87.wav,Exception,
87,/home/ubuntu/new_audios/Neal Manahan - negative_baltimore_chase_-88.wav,Exception,
88,/home/ubuntu/new_audios/Neal Manahan - negative_baltimore_chase_-89.wav,Exception,
89,/home/ubuntu/new_audios/Neal Manahan - negative_baltimore_chase_-90.wav,Good,RockAuto
90,/home/ubuntu/new_audios/Neal Manahan - negative_chicago_officer_shot-01.wav,Exception,
91,/home/ubuntu/new_audios/Neal Manahan - negative_chicago_officer_shot-02.wav,Exception,
92,/home/ubuntu/new_audios/Neal Manahan - negative_chicago_officer_shot-03.wav,Exception,
93,/home/ubuntu/new_audios/Neal Manahan - negative_chicago_officer_shot-04.wav,Exception,
94,/home/ubuntu/new_audios/Neal Manahan - negative_chicago_officer_shot-05.wav,Exception,
95,/home/ubuntu/new_audios/Neal Manahan - negative_chicago_officer_shot-06.wav,Exception,
96,/home/ubuntu/new_audios/Neal Manahan - negative_chicago_officer_shot-07.wav,Exception,
97,/home/ubuntu/new_audios/Neal Manahan - negative_chicago_officer_shot-08.wav,Exception,
98,/home/ubuntu/new_audios/Neal Manahan - negative_chicago_officer_shot-09.wav,Exception,
99,/home/ubuntu/new_audios/Neal Manahan - negative_chicago_officer_shot-10.wav,Exception,
100,/home/ubuntu/new_audios/Neal Manahan - negative_chicago_officer_shot-11.wav,Exception,
101,/home/ubuntu/new_audios/Neal Manahan - negative_chicago_officer_shot-12.wav,Exception,
102,/home/ubuntu/new_audios/Neal Manahan - negative_chicago_officer_shot-13.wav,Exception,
103,/home/ubuntu/new_audios/Neal Manahan - negative_chicago_officer_shot-14.wav,Exception,
104,/home/ubuntu/new_audios/Neal Manahan - negative_chicago_officer_shot-15.wav,Exception,
105,/home/ubuntu/new_audios/Neal Manahan - negative_chicago_officer_shot-16.wav,Exception,
106,/home/ubuntu/new_audios/Neal Manahan - negative_chicago_officer_shot-17.wav,Exception,
107,/home/ubuntu/new_audios/Neal Manahan - negative_chicago_officer_shot-18.wav,Exception,
108,/home/ubuntu/new_audios/Neal Manahan - negative_chicago_officer_shot-19.wav,Good,California
109,/home/ubuntu/new_audios/Neal Manahan - negative_chicago_officer_shot-20.wav,Exception,
110,/home/ubuntu/new_audios/Neal Manahan - negative_chicago_officer_shot-21.wav,Exception,
111,/home/ubuntu/new_audios/Neal Manahan - negative_chicago_officer_shot-22.wav,Exception,
112,/home/ubuntu/new_audios/Neal Manahan - negative_chicago_officer_shot-23.wav,Exception,
113,/home/ubuntu/new_audios/Neal Manahan - negative_chicago_officer_shot-24.wav,Exception,
114,/home/ubuntu/new_audios/Neal Manahan - negative_chicago_officer_shot-25.wav,Exception,
115,/home/ubuntu/new_audios/Neal Manahan - negative_chicago_officer_shot-26.wav,Exception,
116,/home/ubuntu/new_audios/Neal Manahan - negative_chicago_officer_shot-27.wav,Exception,
117,/home/ubuntu/new_audios/Neal Manahan - negative_chicago_officer_shot_standoff_-01.wav,Exception,
118,/home/ubuntu/new_audios/Neal Manahan - negative_chicago_officer_shot_standoff_-02.wav,Exception,
119,/home/ubuntu/new_audios/Neal Manahan - negative_chicago_officer_shot_standoff_-03.wav,Exception,
120,/home/ubuntu/new_audios/Neal Manahan - negative_chicago_officer_shot_standoff_-04.wav,Exception,
121,/home/ubuntu/new_audios/Neal Manahan - negative_chicago_officer_shot_standoff_-05.wav,Exception,
122,/home/ubuntu/new_audios/Neal Manahan - negative_chicago_officer_shot_standoff_-06.wav,Exception,
123,/home/ubuntu/new_audios/Neal Manahan - negative_chicago_officer_shot_standoff_-07.wav,Exception,
124,/home/ubuntu/new_audios/Neal Manahan - negative_chicago_officer_shot_standoff_-08.wav,Exception,
125,/home/ubuntu/new_audios/Neal Manahan - negative_chicago_officer_shot_standoff_-09.wav,Exception,
126,/home/ubuntu/new_audios/Neal Manahan - negative_chicago_officer_shot_standoff_-10.wav,Exception,
127,/home/ubuntu/new_audios/Neal Manahan - negative_chicago_officer_shot_standoff_-11.wav,Exception,
128,/home/ubuntu/new_audios/Neal Manahan - negative_chicago_officer_shot_standoff_-12.wav,Exception,
129,/home/ubuntu/new_audios/Neal Manahan - negative_chicago_officer_shot_standoff_-13.wav,Exception,
130,/home/ubuntu/new_audios/Neal Manahan - negative_chicago_officer_shot_standoff_-14.wav,Exception,
131,/home/ubuntu/new_audios/Neal Manahan - negative_chicago_officer_shot_standoff_-15.wav,Exception,
132,/home/ubuntu/new_audios/Neal Manahan - negative_chicago_officer_shot_standoff_-16.wav,Exception,
133,/home/ubuntu/new_audios/Neal Manahan - negative_chicago_officer_shot_standoff_-17.wav,Exception,
134,/home/ubuntu/new_audios/Neal Manahan - negative_chicago_officer_shot_standoff_-18.wav,Exception,
135,/home/ubuntu/new_audios/Neal Manahan - negative_chicago_officer_shot_standoff_-19.wav,Exception,
136,/home/ubuntu/new_audios/Neal Manahan - negative_chicago_officer_shot_standoff_-20.wav,Exception,
137,/home/ubuntu/new_audios/Neal Manahan - negative_chicago_officer_shot_standoff_-21.wav,Exception,
138,/home/ubuntu/new_audios/Neal Manahan - negative_chicago_officer_shot_standoff_-22.wav,Exception,
139,/home/ubuntu/new_audios/Neal Manahan - negative_chicago_officer_shot_standoff_-23.wav,Exception,
140,/home/ubuntu/new_audios/Neal Manahan - negative_chicago_officer_shot_standoff_-24.wav,Exception,
141,/home/ubuntu/new_audios/Neal Manahan - negative_chicago_officer_shot_standoff_-25.wav,Exception,
142,/home/ubuntu/new_audios/Neal Manahan - negative_chicago_officer_shot_standoff_-26.wav,Exception,
143,/home/ubuntu/new_audios/Neal Manahan - negative_chicago_officer_shot_standoff_-27.wav,Exception,
144,/home/ubuntu/new_audios/Neal Manahan - negative_chicago_officer_shot_standoff_-28.wav,Exception,
145,/home/ubuntu/new_audios/Neal Manahan - negative_chicago_officer_shot_standoff_-29.wav,Exception,
146,/home/ubuntu/new_audios/Neal Manahan - negative_chicago_officer_shot_standoff_-30.wav,Exception,
147,/home/ubuntu/new_audios/Neal Manahan - negative_chicago_officer_shot_standoff_-31.wav,Exception,
148,/home/ubuntu/new_audios/Neal Manahan - negative_chicago_officer_shot_standoff_-32.wav,Exception,
149,/home/ubuntu/new_audios/Neal Manahan - negative_chicago_officer_shot_standoff_-33.wav,Exception,
150,/home/ubuntu/new_audios/Neal Manahan - negative_chicago_officer_shot_standoff_-34.wav,Exception,
151,/home/ubuntu/new_audios/Neal Manahan - negative_chicago_officer_shot_standoff_-35.wav,Exception,
152,/home/ubuntu/new_audios/Neal Manahan - negative_chicago_officer_shot_standoff_-36.wav,Exception,
153,/home/ubuntu/new_audios/Neal Manahan - negative_chicago_officer_shot_standoff_-37.wav,Good,information
154,/home/ubuntu/new_audios/Neal Manahan - negative_chicago_officer_shot_standoff_-38.wav,Exception,
155,/home/ubuntu/new_audios/Neal Manahan - negative_chicago_officer_shot_standoff_-39.wav,Exception,
156,/home/ubuntu/new_audios/Neal Manahan - negative_chicago_officer_shot_standoff_-40.wav,Exception,
157,/home/ubuntu/new_audios/Neal Manahan - negative_chicago_officer_shot_standoff_-41.wav,Exception,
158,/home/ubuntu/new_audios/Neal Manahan - negative_chicago_officer_shot_standoff_-42.wav,Exception,
159,/home/ubuntu/new_audios/Neal Manahan - negative_chicago_officer_shot_standoff_-43.wav,Exception,
160,/home/ubuntu/new_audios/Neal Manahan - negative_chicago_shots_fired_-01.wav,Exception,
161,/home/ubuntu/new_audios/Neal Manahan - negative_chicago_shots_fired_-02.wav,Exception,
162,/home/ubuntu/new_audios/Neal Manahan - negative_chicago_shots_fired_-03.wav,Exception,
163,/home/ubuntu/new_audios/Neal Manahan - negative_chicago_shots_fired_-04.wav,Exception,
164,/home/ubuntu/new_audios/Neal Manahan - negative_chicago_shots_fired_-05.wav,Exception,
165,/home/ubuntu/new_audios/Neal Manahan - negative_chicago_shots_fired_-06.wav,Exception,
166,/home/ubuntu/new_audios/Neal Manahan - negative_chicago_shots_fired_-07.wav,Exception,
167,/home/ubuntu/new_audios/Neal Manahan - negative_chicago_shots_fired_-08.wav,Exception,
168,/home/ubuntu/new_audios/Neal Manahan - negative_chicago_shots_fired_-09.wav,Good,make a note
169,/home/ubuntu/new_audios/Neal Manahan - negative_chicago_shots_fired_-10.wav,Exception,
170,/home/ubuntu/new_audios/Neal Manahan - negative_chicago_shots_fired_-11.wav,Exception,
171,/home/ubuntu/new_audios/Neal Manahan - negative_chicago_shots_fired_-12.wav,Exception,
172,/home/ubuntu/new_audios/Neal Manahan - negative_chicago_shots_fired_-13.wav,Exception,
173,/home/ubuntu/new_audios/Neal Manahan - negative_chicago_shots_fired_-14.wav,Exception,
174,/home/ubuntu/new_audios/Neal Manahan - negative_chicago_shots_fired_-15.wav,Exception,
175,/home/ubuntu/new_audios/Neal Manahan - negative_chicago_shots_fired_-16.wav,Exception,
176,/home/ubuntu/new_audios/Neal Manahan - negative_chicago_shots_fired_-17.wav,Exception,
177,/home/ubuntu/new_audios/Neal Manahan - negative_chicago_shots_fired_-18.wav,Exception,
178,/home/ubuntu/new_audios/Neal Manahan - negative_chicago_shots_fired_-19.wav,Exception,
179,/home/ubuntu/new_audios/Neal Manahan - negative_chicago_shots_fired_-20.wav,Exception,
180,/home/ubuntu/new_audios/Neal Manahan - negative_chicago_shots_fired_-21.wav,Exception,
181,/home/ubuntu/new_audios/Neal Manahan - negative_chicago_shots_fired_-22.wav,Exception,
182,/home/ubuntu/new_audios/Neal Manahan - negative_chicago_shots_fired_2_-01.wav,Exception,
183,/home/ubuntu/new_audios/Neal Manahan - negative_chicago_shots_fired_2_-02.wav,Good,1231 come in and pick up
184,/home/ubuntu/new_audios/Neal Manahan - negative_chicago_shots_fired_2_-03.wav,Exception,
185,/home/ubuntu/new_audios/Neal Manahan - negative_chicago_shots_fired_2_-04.wav,Good,red or maroon
186,/home/ubuntu/new_audios/Neal Manahan - negative_chicago_shots_fired_2_-05.wav,Good,23isBack
187,/home/ubuntu/new_audios/Neal Manahan - negative_chicago_shots_fired_2_-06.wav,Exception,
188,/home/ubuntu/new_audios/Neal Manahan - negative_chicago_shots_fired_2_-07.wav,Exception,
189,/home/ubuntu/new_audios/Neal Manahan - negative_chicago_shots_fired_2_-08.wav,Good,what's the number to
190,/home/ubuntu/new_audios/Neal Manahan - negative_chicago_shots_fired_2_-09.wav,Good,1664 South Blue Island
191,/home/ubuntu/new_audios/Neal Manahan - negative_chicago_shots_fired_2_-10.wav,Exception,
192,/home/ubuntu/new_audios/Neal Manahan - negative_chicago_shots_fired_2_-11.wav,Exception,
193,/home/ubuntu/new_audios/Neal Manahan - negative_chicago_shots_fired_2_-12.wav,Exception,
194,/home/ubuntu/new_audios/Neal Manahan - negative_chicago_shots_fired_2_-13.wav,Exception,
195,/home/ubuntu/new_audios/Neal Manahan - negative_chicago_shots_fired_2_-14.wav,Good,1231
196,/home/ubuntu/new_audios/Neal Manahan - negative_chicago_shots_fired_2_-15.wav,Exception,
197,/home/ubuntu/new_audios/Neal Manahan - negative_chicago_shots_fired_2_-16.wav,Exception,
198,/home/ubuntu/new_audios/Neal Manahan - negative_chicago_shots_fired_2_-17.wav,Good,midnight
199,/home/ubuntu/new_audios/Neal Manahan - negative_chicago_shots_fired_2_-18.wav,Exception,
200,/home/ubuntu/new_audios/Neal Manahan - negative_chicago_shots_fired_2_-19.wav,Exception,
201,/home/ubuntu/new_audios/Neal Manahan - negative_chicago_shots_fired_2_-20.wav,Good,1163
202,/home/ubuntu/new_audios/Neal Manahan - negative_chicago_shots_fired_2_-21.wav,Exception,
203,/home/ubuntu/new_audios/Neal Manahan - negative_chicago_shots_fired_2_-22.wav,Good,good morning
204,/home/ubuntu/new_audios/Neal Manahan - negative_chicago_shots_fired_2_-23.wav,Exception,
205,/home/ubuntu/new_audios/Neal Manahan - negative_chicago_shots_fired_2_-24.wav,Exception,
206,/home/ubuntu/new_audios/Neal Manahan - negative_chicago_shots_fired_2_-25.wav,Exception,
207,/home/ubuntu/new_audios/Neal Manahan - negative_chicago_shots_fired_2_-26.wav,Exception,
208,/home/ubuntu/new_audios/Neal Manahan - negative_chicago_shots_fired_2_-27.wav,Good,712 West Diversey Apartments
209,/home/ubuntu/new_audios/Neal Manahan - negative_chicago_shots_fired_2_-28.wav,Good,videos
210,/home/ubuntu/new_audios/Neal Manahan - negative_chicago_shots_fired_2_-29.wav,Good,first one I gave you
211,/home/ubuntu/new_audios/Neal Manahan - negative_chicago_shots_fired_2_-30.wav,Exception,
212,/home/ubuntu/new_audios/Neal Manahan - negative_chicago_shots_fired_2_-31.wav,Exception,
213,/home/ubuntu/new_audios/Neal Manahan - negative_chicago_shots_fired_2_-32.wav,Good,adorable
214,/home/ubuntu/new_audios/Neal Manahan - negative_chicago_shots_fired_2_-33.wav,Good,call 71
215,/home/ubuntu/new_audios/Neal Manahan - negative_chicago_shots_fired_2_-34.wav,Good,what's going on at 679 North Peoria
216,/home/ubuntu/new_audios/Neal Manahan - negative_chicago_shots_fired_2_-35.wav,Good,call Ice mobile
217,/home/ubuntu/new_audios/Neal Manahan - negative_chicago_shots_fired_2_-36.wav,Good,1243 30th Street South
218,/home/ubuntu/new_audios/Neal Manahan - negative_chicago_shots_fired_2_-37.wav,Exception,
219,/home/ubuntu/new_audios/Neal Manahan - negative_chicago_shots_fired_2_-38.wav,Good,Android on Mac
220,/home/ubuntu/new_audios/Neal Manahan - negative_chicago_shots_fired_2_-39.wav,Good,call Brandt Pike
221,/home/ubuntu/new_audios/Neal Manahan - negative_chicago_shots_fired_2_-40.wav,Good,April 11th
222,/home/ubuntu/new_audios/Neal Manahan - negative_chicago_shots_fired_2_-41.wav,Exception,
223,/home/ubuntu/new_audios/Neal Manahan - negative_cops_struck_by_train_-01.wav,Good,set timer for 1 round 651
224,/home/ubuntu/new_audios/Neal Manahan - negative_cops_struck_by_train_-02.wav,Exception,
225,/home/ubuntu/new_audios/Neal Manahan - negative_cops_struck_by_train_-03.wav,Exception,
226,/home/ubuntu/new_audios/Neal Manahan - negative_cops_struck_by_train_-04.wav,Exception,
227,/home/ubuntu/new_audios/Neal Manahan - negative_cops_struck_by_train_-05.wav,Exception,
228,/home/ubuntu/new_audios/Neal Manahan - negative_cops_struck_by_train_-06.wav,Exception,
229,/home/ubuntu/new_audios/Neal Manahan - negative_fdny_fire_-01.wav,Exception,
230,/home/ubuntu/new_audios/Neal Manahan - negative_fdny_fire_-02.wav,Exception,
231,/home/ubuntu/new_audios/Neal Manahan - negative_fdny_fire_-03.wav,Exception,
232,/home/ubuntu/new_audios/Neal Manahan - negative_fdny_fire_-04.wav,Exception,
233,/home/ubuntu/new_audios/Neal Manahan - negative_fdny_fire_-05.wav,Exception,
234,/home/ubuntu/new_audios/Neal Manahan - negative_fdny_fire_-06.wav,Exception,
235,/home/ubuntu/new_audios/Neal Manahan - negative_fdny_fire_-07.wav,Exception,
236,/home/ubuntu/new_audios/Neal Manahan - negative_fdny_fire_-08.wav,Exception,
237,/home/ubuntu/new_audios/Neal Manahan - negative_fdny_fire_-09.wav,Exception,
238,/home/ubuntu/new_audios/Neal Manahan - negative_fdny_fire_-10.wav,Exception,
239,/home/ubuntu/new_audios/Neal Manahan - negative_fdny_fire_-11.wav,Exception,
240,/home/ubuntu/new_audios/Neal Manahan - negative_fdny_fire_-12.wav,Exception,
241,/home/ubuntu/new_audios/Neal Manahan - negative_fdny_fire_-13.wav,Exception,
242,/home/ubuntu/new_audios/Neal Manahan - negative_fdny_fire_-14.wav,Exception,
243,/home/ubuntu/new_audios/Neal Manahan - negative_fdny_fire_-15.wav,Exception,
244,/home/ubuntu/new_audios/Neal Manahan - negative_fdny_fire_-16.wav,Exception,
245,/home/ubuntu/new_audios/Neal Manahan - negative_fdny_fire_-17.wav,Exception,
246,/home/ubuntu/new_audios/Neal Manahan - negative_fdny_fire_-18.wav,Exception,
247,/home/ubuntu/new_audios/Neal Manahan - negative_fdny_fire_-19.wav,Exception,
248,/home/ubuntu/new_audios/Neal Manahan - negative_fdny_fire_-20.wav,Exception,
249,/home/ubuntu/new_audios/Neal Manahan - negative_fdny_fire_-21.wav,Good,track bar
250,/home/ubuntu/new_audios/Neal Manahan - negative_fdny_fire_-22.wav,Exception,
251,/home/ubuntu/new_audios/Neal Manahan - negative_fdny_fire_-23.wav,Exception,
252,/home/ubuntu/new_audios/Neal Manahan - negative_fdny_fire_-24.wav,Exception,
253,/home/ubuntu/new_audios/Neal Manahan - negative_fdny_fire_-25.wav,Exception,
254,/home/ubuntu/new_audios/Neal Manahan - negative_fdny_fire_-26.wav,Exception,
255,/home/ubuntu/new_audios/Neal Manahan - negative_fdny_fire_-27.wav,Good,set timer for 7:28
256,/home/ubuntu/new_audios/Neal Manahan - negative_fdny_fire_-28.wav,Exception,
257,/home/ubuntu/new_audios/Neal Manahan - negative_fdny_fire_-29.wav,Exception,
258,/home/ubuntu/new_audios/Neal Manahan - negative_fdny_fire_-30.wav,Exception,
259,/home/ubuntu/new_audios/Neal Manahan - negative_fdny_fire_-31.wav,Exception,
260,/home/ubuntu/new_audios/Neal Manahan - negative_fdny_fire_-32.wav,Exception,
261,/home/ubuntu/new_audios/Neal Manahan - negative_fdny_fire_-33.wav,Exception,
262,/home/ubuntu/new_audios/Neal Manahan - negative_fdny_fire_-34.wav,Exception,
263,/home/ubuntu/new_audios/Neal Manahan - negative_stlouis_fire_-01.wav,Good,character Warehouse service 3937 Parkcrest Street 39th and Lawrence Mass 116-117 to 8048 us-51
264,/home/ubuntu/new_audios/Neal Manahan - negative_stlouis_fire_-02.wav,Good,4 + 2 + 10 + 5
265,/home/ubuntu/new_audios/Neal Manahan - negative_stlouis_fire_-03.wav,Good,several products recorder
266,/home/ubuntu/new_audios/Neal Manahan - negative_stlouis_fire_-04.wav,Exception,
267,/home/ubuntu/new_audios/Neal Manahan - negative_stlouis_fire_-05.wav,Good,29
268,/home/ubuntu/new_audios/Neal Manahan - negative_stlouis_fire_-06.wav,Good,14 run the same truck work Anchorman
269,/home/ubuntu/new_audios/Neal Manahan - negative_stlouis_fire_-07.wav,Good,29 a fire alarm
270,/home/ubuntu/new_audios/Neal Manahan - negative_stlouis_fire_-08.wav,Good,American Water
271,/home/ubuntu/new_audios/Neal Manahan - negative_stlouis_fire_-09.wav,Good,one liners
272,/home/ubuntu/new_audios/Neal Manahan - negative_stlouis_fire_-10.wav,Good,1
273,/home/ubuntu/new_audios/Neal Manahan - negative_stlouis_fire_-100.wav,Good,23
274,/home/ubuntu/new_audios/Neal Manahan - negative_stlouis_fire_-101.wav,Exception,
275,/home/ubuntu/new_audios/Neal Manahan - negative_stlouis_fire_-102.wav,Exception,
276,/home/ubuntu/new_audios/Neal Manahan - negative_stlouis_fire_-103.wav,Exception,
277,/home/ubuntu/new_audios/Neal Manahan - negative_stlouis_fire_-11.wav,Exception,
278,/home/ubuntu/new_audios/Neal Manahan - negative_stlouis_fire_-12.wav,Good,magnesium
279,/home/ubuntu/new_audios/Neal Manahan - negative_stlouis_fire_-13.wav,Good,hours of magnesium in the basement
280,/home/ubuntu/new_audios/Neal Manahan - negative_stlouis_fire_-14.wav,Good,45804
281,/home/ubuntu/new_audios/Neal Manahan - negative_stlouis_fire_-15.wav,Good,we've located The Patriot
282,/home/ubuntu/new_audios/Neal Manahan - negative_stlouis_fire_-16.wav,Good,funny
283,/home/ubuntu/new_audios/Neal Manahan - negative_stlouis_fire_-17.wav,Good,the basement wasn't burning man set time
284,/home/ubuntu/new_audios/Neal Manahan - negative_stlouis_fire_-18.wav,Good,why does he ever put his magnesium is not on fire this time
285,/home/ubuntu/new_audios/Neal Manahan - negative_stlouis_fire_-19.wav,Good,Eastside
